| dtime      | temp      | humidity      |
| 20140129102700 | 120       | 43            |
| 20140129103000 | 130       | 43            |
| 20140129103300 | 120       | 43            |
| 20140129103600 | 120       | 43            |
| 20140129103900 | 120       | 43            |
| 20140129104200 | 120       | 43            |
| 20140129104500 | 120       | 43            |
| 20140129104800 | 140       | 43            |
| 20140129105100 | 140       | 43            |
| 20140129105400 | 140       | 43            |
| 20140129110000 | 150       | 40            |
| 20140129110300 | 160       | 42            |
| 20140129110600 | 160       | 41            |
| 20140129110900 | 160       | 41            |
| 20140129111200 | 160       | 41            |
| 20140129111500 | 160       | 41            |
| 20140129111800 | 170       | 40            |
| 20140129112100 | 170       | 40            |
| 20140129112400 | 170       | 40            |
| 20140129112700 | 170       | 40            |
| 20140129113300 | 170       | 40            |
| 20140129113600 | 170       | 40            |
| 20140129113900 | 170       | 40            |
| 20140129114200 | 170       | 40            |
| 20140129114500 | 170       | 40            |
| 20140129114800 | 170       | 40            |
| 20140129115100 | 170       | 40            |
| 20140129115400 | 170       | 40            |
| 20140129115700 | 170       | 40            |
| 20140129120000 | 170       | 40            |
| 20140129120300 | 170       | 40            |
| 20140129120600 | 170       | 39            |
| 20140129120900 | 170       | 40            |
| 20140129121200 | 170       | 39            |
| 20140129121500 | 170       | 39            |
| 20140130141200 | 170       | 38            |
| 20140130141500 | 170       | 38            |
| 20140130141800 | 170       | 38            |
| 20140130142100 | 170       | 38            |
| 20140130142400 | 170       | 38            |
| 20140130142700 | 170       | 38            |
| 20140130143000 | 190       | 39            |
| 20140130143300 | 170       | 39            |
| 20140130143600 | 170       | 38            |
| 20140130143900 | 170       | 38            |
| 20140130144200 | 170       | 38            |
| 20140130144800 | 170       | 38            |
| 20140130145100 | 170       | 38            |
| 20140130145400 | 190       | 39            |
| 20140130145700 | 170       | 38            |
| 20140130150000 | 170       | 38            |
| 20140130150300 | 170       | 38            |
| 20140130150600 | 170       | 38            |
| 20140130150900 | 170       | 38            |
| 20140130151200 | 170       | 38            |
| 20140130151500 | 170       | 38            |
| 20140130151800 | 170       | 38            |
| 20140130152100 | 170       | 38            |
| 20140130152400 | 180       | 38            |
| 20140130152700 | 190       | 39            |
| 20140130153000 | 180       | 38            |
| 20140130153300 | 180       | 38            |
| 20140130153600 | 180       | 38            |
| 20140130153900 | 180       | 38            |
| 20140130154200 | 180       | 38            |
| 20140130154500 | 180       | 38            |
| 20140130154800 | 180       | 38            |
| 20140130155100 | 180       | 38            |
| 20140130155400 | 180       | 38            |
| 20140130155500 | 180       | 38            |
| 20140130155600 | 180       | 38            |
| 20140130155700 | 180       | 38            |
| 20140130155823 | 180       | 38            |
| 20140130155909 | 180       | 38            |
| 20140130155954 | 180       | 38            |
| 20140130160040 | 180       | 38            |
| 20140130160311 | 180       | 38            |
| 20140130160356 | 180       | 38            |
| 20140130160426 | 180       | 38            |
| 20140130160442 | 180       | 38            |
| 20140130160527 | 180       | 38            |
| 20140130160557 | 180       | 38            |
| 20140130160613 | 180       | 38            |
| 20140130160643 | 200       | 39            |
| 20140130160658 | 180       | 38            |
| 20140130160728 | 180       | 38            |
| 20140130160814 | 180       | 38            |
| 20140130160859 | 180       | 38            |
| 20140130160914 | 180       | 38            |
| 20140130160959 | 180       | 38            |
| 20140130161045 | 180       | 38            |
| 20140130161100 | 180       | 38            |
| 20140130161130 | 180       | 38            |
| 20140130161145 | 180       | 38            |
| 20140130161215 | 180       | 38            |
| 20140130161301 | 180       | 38            |
| 20140130161346 | 180       | 38            |
| 20140130161401 | 180       | 38            |
| 20140130161447 | 180       | 38            |
| 20140130161532 | 180       | 38            |
| 20140130161617 | 180       | 38            |
| 20140130161633 | 190       | 39            |
| 20140130161703 | 180       | 38            |
| 20140130161748 | 180       | 38            |
| 20140130161803 | 180       | 38            |
| 20140130161833 | 180       | 38            |
| 20140130161849 | 180       | 38            |
| 20140130161919 | 180       | 38            |
| 20140130162019 | 180       | 38            |
| 20140130162105 | 180       | 38            |
| 20140130162150 | 180       | 38            |
| 20140130162235 | 180       | 38            |
| 20140130162321 | 180       | 38            |
| 20140130162406 | 180       | 38            |
| 20140130162436 | 180       | 38            |
| 20140130162507 | 180       | 38            |
| 20140130162537 | 180       | 38            |
| 20140130162552 | 180       | 38            |
| 20140130162622 | 180       | 38            |
| 20140130162708 | 180       | 38            |
| 20140130162753 | 180       | 38            |
| 20140130162808 | 180       | 38            |
| 20140130162838 | 180       | 38            |
| 20140130162854 | 180       | 38            |
| 20140130162924 | 180       | 38            |
| 20140130163009 | 180       | 38            |
| 20140130163024 | 180       | 38            |
| 20140130163055 | 180       | 38            |
| 20140130163110 | 180       | 38            |
| 20140130163140 | 180       | 38            |
| 20140130163210 | 190       | 39            |
| 20140130163255 | 180       | 38            |
| 20140130163512 | 180       | 38            |
| 20140130163813 | 180       | 38            |
| 20140130163859 | 180       | 38            |
| 20140130163944 | 180       | 38            |
| 20140130163959 | 180       | 38            |
| 20140130164029 | 180       | 38            |
| 20140130164045 | 180       | 38            |
| 20140130164115 | 180       | 38            |
| 20140130164200 | 180       | 38            |
| 20140130164215 | 180       | 38            |
| 20140130164246 | 180       | 38            |
| 20140130164301 | 180       | 38            |
| 20140130164331 | 180       | 38            |
| 20140130164416 | 180       | 38            |
| 20140130164502 | 180       | 38            |
| 20140130164517 | 180       | 38            |
| 20140130164547 | 180       | 38            |
| 20140130164602 | 190       | 39            |
| 20140130164633 | 180       | 38            |
| 20140130164703 | 180       | 38            |
| 20140130164748 | 180       | 38            |
| 20140130164833 | 180       | 38            |
| 20140130164919 | 180       | 38            |
| 20140130165004 | 180       | 38            |
| 20140130165050 | 180       | 38            |
| 20140130170711 | 160       | 40            |
| 20140130171027 | 170       | 39            |
| 20140130171113 | 170       | 39            |
| 20140130171158 | 190       | 39            |
| 20140130171244 | 180       | 39            |
| 20140130171329 | 180       | 39            |
| 20140130171414 | 180       | 39            |
| 20140130171500 | 180       | 39            |
| 20140130171515 | 180       | 39            |
| 20140130171545 | 180       | 39            |
| 20140130171631 | 180       | 39            |
| 20140130171716 | 180       | 39            |
| 20140130171731 | 180       | 39            |
| 20140130171801 | 180       | 39            |
| 20140130171816 | 180       | 39            |
| 20140130171847 | 180       | 39            |
| 20140130171902 | 180       | 39            |
| 20140130171932 | 180       | 39            |
| 20140130172018 | 180       | 38            |
| 20140130172033 | 180       | 39            |
| 20140130172103 | 180       | 38            |
| 20140130172118 | 180       | 39            |
| 20140130172148 | 180       | 39            |
| 20140130172204 | 180       | 39            |
| 20140130172304 | 180       | 39            |
| 20140130172636 | 180       | 39            |
| 20140130172651 | 180       | 39            |
| 20140130172721 | 180       | 39            |
| 20140130173208 | 180       | 39            |
| 20140130173253 | 170       | 39            |
| 20140130173308 | 170       | 39            |
| 20140130173338 | 160       | 40            |
| 20140130173354 | 160       | 40            |
| 20140130173424 | 160       | 40            |
| 20140130173439 | 160       | 40            |
| 20140130173509 | 150       | 40            |
| 20140130173555 | 150       | 40            |
| 20140130173610 | 150       | 40            |
| 20140130173655 | 150       | 40            |
| 20140130173740 | 150       | 40            |
| 20140130173826 | 140       | 41            |
| 20140130173841 | 140       | 41            |
| 20140130173911 | 140       | 41            |
| 20140130173926 | 140       | 41            |
| 20140130173957 | 140       | 41            |
| 20140130174012 | 140       | 41            |
| 20140130174042 | 140       | 41            |
| 20140130174127 | 140       | 41            |
| 20140130174142 | 140       | 41            |
| 20140130174228 | 140       | 41            |
| 20140130174258 | 140       | 41            |
| 20140130174313 | 140       | 41            |
| 20140130174413 | 140       | 41            |
| 20140130174459 | 140       | 41            |
| 20140130174544 | 140       | 42            |
| 20140130174630 | 140       | 42            |
| 20140130174715 | 140       | 42            |
| 20140130174800 | 140       | 42            |
| 20140130174846 | 140       | 42            |
| 20140130174931 | 140       | 42            |
| 20140130175016 | 150       | 41            |
| 20140130175047 | 150       | 41            |
| 20140130175102 | 150       | 41            |
| 20140130175147 | 150       | 41            |
| 20140130175233 | 150       | 41            |
| 20140130175248 | 150       | 41            |
| 20140130175318 | 150       | 41            |
| 20140130175333 | 150       | 41            |
| 20140130175403 | 150       | 41            |
| 20140130175418 | 150       | 41            |
| 20140130175449 | 150       | 41            |
| 20140130175534 | 150       | 41            |
| 20140130175619 | 150       | 41            |
| 20140130175634 | 150       | 41            |
| 20140130175705 | 150       | 41            |
| 20140130175720 | 150       | 41            |
| 20140130175750 | 150       | 41            |
| 20140130175820 | 150       | 41            |
| 20140130180122 | 150       | 41            |
| 20140130180207 | 150       | 41            |
| 20140130180237 | 150       | 41            |
| 20140130180252 | 150       | 41            |
| 20140130180337 | 150       | 41            |
| 20140130180423 | 150       | 41            |
| 20140130180508 | 150       | 41            |
| 20140130180523 | 140       | 42            |
| 20140130180553 | 150       | 41            |
| 20140130180639 | 140       | 42            |
| 20140130180654 | 140       | 42            |
| 20140130180724 | 140       | 42            |
| 20140130180739 | 140       | 42            |
| 20140130180810 | 140       | 42            |
| 20140130180825 | 140       | 42            |
| 20140130180855 | 140       | 42            |
| 20140130180940 | 140       | 42            |
| 20140130181041 | 140       | 42            |
| 20140130181126 | 140       | 42            |
| 20140130181212 | 140       | 42            |
| 20140130181227 | 140       | 42            |
| 20140130181257 | 140       | 42            |
| 20140130181312 | 140       | 42            |
| 20140130181342 | 140       | 42            |
| 20140130181357 | 140       | 42            |
| 20140130181428 | 140       | 42            |
| 20140130181513 | 140       | 42            |
| 20140130181558 | 140       | 42            |
| 20140130181613 | 140       | 42            |
| 20140130181644 | 140       | 42            |
| 20140130181659 | 140       | 42            |
| 20140130181729 | 140       | 42            |
| 20140130181814 | 140       | 42            |
| 20140130181900 | 140       | 42            |
| 20140130181915 | 140       | 42            |
| 20140130181930 | 140       | 42            |
| 20140130182015 | 140       | 42            |
| 20140130182100 | 140       | 42            |
| 20140130182146 | 140       | 42            |
| 20140130182231 | 140       | 42            |
| 20140130182317 | 140       | 42            |
| 20140130182347 | 140       | 42            |
| 20140130182432 | 140       | 42            |
| 20140130182447 | 140       | 42            |
| 20140130182518 | 140       | 42            |
| 20140130182533 | 140       | 42            |
| 20140130182603 | 140       | 42            |
| 20140130182618 | 140       | 42            |
| 20140130182648 | 140       | 42            |
| 20140130182719 | 140       | 42            |
| 20140130182749 | 140       | 42            |
| 20140130182804 | 140       | 42            |
| 20140130182834 | 140       | 42            |
| 20140130182920 | 140       | 42            |
| 20140130183005 | 140       | 42            |
| 20140130183020 | 140       | 42            |
| 20140130183050 | 140       | 42            |
| 20140130183105 | 140       | 42            |
| 20140130183136 | 140       | 42            |
| 20140130183151 | 140       | 42            |
| 20140130183221 | 140       | 42            |
| 20140130183307 | 140       | 42            |
| 20140130183352 | 140       | 42            |
| 20140130183407 | 140       | 42            |
| 20140130183507 | 140       | 42            |
| 20140130183553 | 140       | 42            |
| 20140130183638 | 140       | 42            |
| 20140130183723 | 140       | 42            |
| 20140130183754 | 140       | 42            |
| 20140130183854 | 140       | 42            |
| 20140130183939 | 150       | 41            |
| 20140130184025 | 150       | 41            |
| 20140130184110 | 150       | 41            |
| 20140130184125 | 150       | 41            |
| 20140130184155 | 150       | 41            |
| 20140130184211 | 150       | 41            |
| 20140130184256 | 150       | 41            |
| 20140130184341 | 150       | 41            |
| 20140130184427 | 150       | 41            |
| 20140130184512 | 150       | 41            |
| 20140130184557 | 150       | 41            |
| 20140130184643 | 150       | 41            |
| 20140130184713 | 150       | 41            |
| 20140130184758 | 150       | 41            |
| 20140130184813 | 150       | 41            |
| 20140130184828 | 150       | 41            |
| 20140130184859 | 150       | 41            |
| 20140130184944 | 150       | 41            |
| 20140130184959 | 150       | 41            |
| 20140130185029 | 150       | 41            |
| 20140130185044 | 150       | 41            |
| 20140130185115 | 150       | 41            |
| 20140130185130 | 150       | 41            |
| 20140130185200 | 150       | 41            |
| 20140130185245 | 150       | 41            |
| 20140130185331 | 150       | 41            |
| 20140130185346 | 150       | 41            |
| 20140130185416 | 150       | 41            |
| 20140130185431 | 150       | 41            |
| 20140130185517 | 150       | 41            |
| 20140130185532 | 150       | 41            |
| 20140130185602 | 150       | 41            |
| 20140130185617 | 150       | 41            |
| 20140130185647 | 150       | 41            |
| 20140130185702 | 150       | 41            |
| 20140130185733 | 150       | 41            |
| 20140130185818 | 150       | 41            |
| 20140130185903 | 150       | 41            |
| 20140130185919 | 150       | 41            |
| 20140130185949 | 150       | 41            |
| 20140130190004 | 150       | 41            |
| 20140130190049 | 150       | 41            |
| 20140130190135 | 150       | 41            |
| 20140130190220 | 150       | 41            |
| 20140130190305 | 150       | 41            |
| 20140130190351 | 140       | 42            |
| 20140130190436 | 140       | 42            |
| 20140130190451 | 140       | 42            |
| 20140130190521 | 140       | 42            |
| 20140130190536 | 140       | 42            |
| 20140130190607 | 140       | 42            |
| 20140130190652 | 140       | 42            |
| 20140130190737 | 140       | 42            |
| 20140130190752 | 140       | 42            |
| 20140130190823 | 140       | 42            |
| 20140130190838 | 140       | 42            |
| 20140130190908 | 140       | 42            |
| 20140130190923 | 140       | 42            |
| 20140130191023 | 140       | 42            |
| 20140130191109 | 140       | 42            |
| 20140130191154 | 140       | 42            |
| 20140130191239 | 140       | 42            |
| 20140130191254 | 140       | 42            |
| 20140130191325 | 140       | 42            |
| 20140130191410 | 140       | 42            |
| 20140130191726 | 140       | 42            |
| 20140130191812 | 140       | 42            |
| 20140130191857 | 140       | 42            |
| 20140130191927 | 140       | 42            |
| 20140130191942 | 140       | 42            |
| 20140130192013 | 140       | 42            |
| 20140130192058 | 140       | 42            |
| 20140130192143 | 140       | 42            |
| 20140130192159 | 140       | 42            |
| 20140130192229 | 140       | 42            |
| 20140130192244 | 140       | 42            |
| 20140130192314 | 140       | 42            |
| 20140130192329 | 140       | 42            |
| 20140130192359 | 140       | 42            |
| 20140130192430 | 140       | 42            |
| 20140130192500 | 140       | 42            |
| 20140130192515 | 140       | 42            |
| 20140130192545 | 140       | 42            |
| 20140130192631 | 140       | 42            |
| 20140130192716 | 140       | 42            |
| 20140130192731 | 140       | 42            |
| 20140130192801 | 140       | 42            |
